Model,Accuracy,Precision,Recall,F1-Score,Latency (ms),Parameters (M),Model Size (MB)
MobileNetV2,0.9824,0.9824,0.9824,0.9824,4.02,2.23,8.91
MobileNetV3-Small,0.9824,0.9825,0.9824,0.9823,4.02,1.52,6.08
MobileNetV3-Large,0.9794,0.98,0.9794,0.9794,4.67,4.21,16.82
EfficientNet-B0,0.9912,0.9913,0.9912,0.9912,6.08,4.01,16.05
EfficientNet-B1,0.9941,0.9942,0.9941,0.9941,8.89,6.52,26.07
ShuffleNetV2-0.5x,0.9735,0.9744,0.9735,0.9735,5.04,0.34,1.38
SqueezeNet,0.6471,0.7685,0.6471,0.5229,1.82,0.72,2.9
ResNet18,0.9794,0.9795,0.9794,0.9794,1.81,11.18,44.71
DenseNet-121,0.9765,0.9769,0.9765,0.9765,12.02,6.96,27.83
RegNet-Y400MF,0.9882,0.9884,0.9882,0.9882,6.86,3.9,15.62
ViT-Tiny,0.8118,0.8128,0.8118,0.8105,6.68,85.8,343.2
