Model,Accuracy,Precision,Recall,F1-Score,Latency (ms),Parameters (M),Model Size (MB)
MobileNetV2,0.9735,0.9735,0.9735,0.9734,3.88,2.23,8.91
MobileNetV3-Small,0.9824,0.9824,0.9824,0.9824,3.74,1.52,6.08
MobileNetV3-Large,0.9794,0.9795,0.9794,0.9793,4.55,4.21,16.82
EfficientNet-B0,0.9853,0.9855,0.9853,0.9853,5.88,4.01,16.05
EfficientNet-B1,0.9882,0.9883,0.9882,0.9883,8.64,6.52,26.07
ShuffleNetV2-0.5x,0.9735,0.9736,0.9735,0.9735,4.79,0.34,1.38
SqueezeNet,0.9441,0.9482,0.9441,0.9447,1.64,0.72,2.9
ResNet18,0.9853,0.9853,0.9853,0.9853,1.88,11.18,44.71
DenseNet-121,0.9882,0.9884,0.9882,0.9883,12.27,6.96,27.83
RegNet-Y400MF,0.9912,0.9912,0.9912,0.9912,7.05,3.9,15.62
ViT-Tiny,0.8853,0.8849,0.8853,0.8847,6.38,85.8,343.2
